club_shirt,season,x_g,x_a,,
ARS7,2022-2023,11.2,8.5,,   
ARS7,2021-2022,10.3,7.5,,
MUN10,2022-2023,15.4,3.4,,
MUN10,2021-2022,2.9,2.1,,
TOT10,2022-2023,21.5,7,,
TOT10,2021-2022,18.6,9.1,,
NEW9,2021-2022,6.2,0.5,,
NEW9,2022-2023,17.5,2.7,,
MCI9,2021-2022,17.9,5.4,,
MCI9,2022-2023,28.4,5.3,,
BRE17,2021-2022,11.4,5.8,,
BRE17,2022-2023,18.7,5.1,,
MCI10,2021-2022,5.3,6,,
MCI10,2022-2023,4.6,7,,
ARS11,2021-2022,7.3,4.3,,
ARS11,2022-2023,9.3,9.1,,
MCI17,2021-2022,5.7,10.4,,
MCI17,2022-2023,5.6,13.7,,
ARS8,2021-2022,4.8,6.3,,
ARS8,2022-2023,10,8.1,,
MUN8,2021-2022,9.7,9,,
MUN8,2022-2023,9.3,16.7,,
ARS34,2021-2022,1.4,2.3,,
ARS34,2022-2023,4.7,5.2,,
MCI16,2021-2022,2.3,1.4,,
MCI16,2022-2023,4.6,4.1,,
BRI25,2021-2022,0.8,0.3,,
BRI25,2022-2023,1.7,2.7,,
WHU41,2021-2022,1.1,1.7,,
WHU41,2022-2023,2.4,3.2,,
ARS6,2021-2022,3.2,0.7,,
ARS6,2022-2023,5.1,0.3,,
MCI25,2021-2022,1.9,0.1,,
MCI25,2022-2023,1.3,0.4,,
LIV4,2021-2022,2,1.5,,
LIV4,2022-2023,2.6,1.2,,
