club_shirt,season,matches_played,minutes_played,goals,assists,penalty_goals
ARS7,2022-2023,38,3181,14,11,2
ARS7,2021-2022,38,2978,11,7,2
MUN10,2022-2023,35,2879,17,5,0
MUN10,2021-2022,25,1235,4,2,0
TOT10,2022-2023,38,3405,30,3,5
TOT10,2021-2022,37,3232,17,9,4
NEW9,2022-2023,31,1877,18,5,3
NEW9,2021-2022,18,1386,8,0,2
MCI9,2022-2023,35,2769,36,8,7
MCI9,2021-2022,24,1911,22,8,6
BRE17,2022-2023,33,2951,20,4,6
BRE17,2021-2022,33,2909,12,5,5
MCI10,2022-2023,28,2055,5,7,0
MCI10,2021-2022,26,1914,3,3,0
ARS11,2022-2023,36,2789,15,5,0
ARS11,2021-2022,29,1860,6,6,1
MCI17,2022-2023,32,2417,7,16,0
MCI17,2021-2022,30,2201,15,8,0
ARS8,2022-2023,37,3127,15,7,0
ARS8,2021-2022,36,2785,7,4,0
MUN8,2022-2023,37,3316,8,8,2
MUN8,2021-2022,36,3111,10,6,0
ARS34,2022-2023,37,2993,7,7,0
ARS34,2021-2022,27,2327,1,2,0
MCI16,2022-2023,36,2911,2,6,0
MCI16,2021-2022,33,2884,7,2,0
BRI25,2022-2023,37,3139,1,1,0
BRI25,2021-2022,8,660,1,1,0
WHU41,2022-2023,37,3273,4,1,0
WHU41,2021-2022,36,3179,1,4,0
ARS6,2022-2023,38,3409,3,0,0
ARS6,2021-2022,35,3063,5,0,0
MCI25,2022-2023,29,2287,0,1,0
MCI25,2021-2022,26,2261,1,0,0
LIV4,2022-2023,32,2835,3,1,0
LIV4,2021-2022,34,3060,3,1,0
