CLUB_SHIRT,SEASON,ATTEMPTED_TAKEON,SUCCESSFUL_TAKEONS
ARS7,2022-2023,159,61
ARS7,2021-2022,102,43
MUN10,2022-2023,138,54
MUN10,2021-2022,53,22
TOT10,2022-2023,108,40
TOT10,2021-2022,100,54
NEW9,2021-2022,21,10
NEW9,2022-2023,36,12
MCI9,2021-2022,24,13
MCI9,2022-2023,32,11
BRE17,2021-2022,50,24
BRE17,2022-2023,54,16
MCI10,2021-2022,68,40
MCI10,2022-2023,110,45
ARS11,2021-2022,79,45
ARS11,2022-2023,132,59
MCI17,2021-2022,55,31
MCI17,2022-2023,61,32
ARS8,2021-2022,46,25
ARS8,2022-2023,83,48
MUN8,2021-2022,52,26
MUN8,2022-2023,66,32
ARS34,2021-2022,26,19
ARS34,2022-2023,28,15
MCI16,2021-2022,22,12
MCI16,2022-2023,37,25
BRI25,2021-2022,10,7
BRI25,2022-2023,54,28
WHU41,2021-2022,72,50
WHU41,2022-2023,63,35
ARS6,2021-2022,4,4
ARS6,2022-2023,3,2
MCI25,2021-2022,9,8
MCI25,2022-2023,12,6
LIV4,2021-2022,8,6
LIV4,2022-2023,1,1
